12 10 2022 - 14:27:15.269 INFO  [restartedMain] c.i.s.a.SpringbootWebAppApplication - Starting SpringbootWebAppApplication on MICHAELAJIRI with PID 13056 (C:\Users\michaelajiri\OneDrive\Projects\Java Backend Apps\springboot-web-app\target\classes started by michaelajiri in C:\Users\michaelajiri\OneDrive\Projects\Java Backend Apps\springboot-web-app)
12 10 2022 - 14:27:15.296 INFO  [restartedMain] c.i.s.a.SpringbootWebAppApplication - No active profile set, falling back to default profiles: default
12 10 2022 - 14:27:15.523 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
12 10 2022 - 14:27:15.525 INFO  [restartedMain] o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
12 10 2022 - 14:27:17.908 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
12 10 2022 - 14:27:18.193 INFO  [restartedMain] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 259ms. Found 3 JPA repository interfaces.
12 10 2022 - 14:27:20.149 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@721db22d' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12 10 2022 - 14:27:20.159 INFO  [restartedMain] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
12 10 2022 - 14:27:22.730 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 6060 (http)
12 10 2022 - 14:27:22.759 INFO  [restartedMain] o.a.catalina.core.StandardService - Starting service [Tomcat]
12 10 2022 - 14:27:22.761 INFO  [restartedMain] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
12 10 2022 - 14:27:23.004 INFO  [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12 10 2022 - 14:27:23.005 INFO  [restartedMain] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 7479 ms
12 10 2022 - 14:27:23.955 INFO  [restartedMain] o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
12 10 2022 - 14:27:24.248 INFO  [task-1] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
12 10 2022 - 14:27:24.254 WARN  [restartedMain] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
12 10 2022 - 14:27:24.429 INFO  [task-1] org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.17.Final
12 10 2022 - 14:27:25.108 INFO  [task-1] o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
